uid,name,airline,text,tweet_created,tweet_city,tweet_state,Chosen
681448338,GunsNDip,Virgin America,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,2/23/2015 10:38,Worcester, MA ,Not chosen
681448340,jsatk,Virgin America,@VirginAmerica I‰Ûªm having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,2/23/2015 10:29,Louisville, KY ,Not chosen
681448342,serenaklal,Virgin America,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,2/23/2015 10:15,Chicago, IL,Not chosen
681448345,openambit1,Virgin America,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,2/23/2015 10:09,Worcester, MA ,Not chosen
681448347,cabowine,Virgin America,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,2/23/2015 10:04,Los Angeles, CA,Not chosen
681448353,RamotControl,Virgin America,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",2/23/2015 9:45,Worcester, MA ,Not chosen
681448358,AlisonK33774854,Virgin America,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,2/23/2015 9:29,Worcester, MA ,Not chosen
681448360,GunsNDip,Virgin America,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",2/23/2015 9:28,Worcester, MA ,Not chosen
681448366,ColorCartel,Virgin America,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,2/23/2015 9:18,Austin, TX,Not chosen
681448369,MustBeSpoken,Virgin America,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,2/23/2015 9:11,Worcester, MA ,Not chosen
681448371,mattbunk,Virgin America,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,2/23/2015 8:29,Stamford, CT,Not chosen
681448373,louisjenny,Virgin America,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,2/23/2015 8:19,Washington, D.C.,Not chosen
681448376,STravelsW,Virgin America,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,2/23/2015 8:19,Louisville, KY ,Not chosen
681448377,GunsNDip,Virgin America,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,2/23/2015 8:11,Worcester, MA ,Not chosen
681448379,joeyrenagade,Virgin America,@VirginAmerica check out new music http://t.co/maRcnOCWzn,2/23/2015 8:08,Great Barrington, MA,Not chosen
681448382,mrmichaellay,Virgin America,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,2/23/2015 8:08,Evanston, IL,Not chosen
681448383,GunsNDip,Virgin America,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,2/23/2015 7:51,Worcester, MA ,Not chosen
681448385,TheDuchessSF,Virgin America,"@VirginAmerica - amazing customer  service, again! _ÙÕ¥_ÙÕ¥ RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",2/23/2015 7:50,Omaha, NE ,Not chosen
681448389,BeLeather,Virgin America,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,2/23/2015 7:40,Worcester, MA ,Not chosen
681448391,drcaseydrake,Virgin America,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,2/23/2015 7:28,Dallas, TX,Not chosen
681448393,flyfromWAS,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",2/23/2015 6:57,Washington, D.C. ,Not chosen
681448395,flyfromSEA,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",2/23/2015 6:57,Seattle, WA,Not chosen
681448397,flyfromNYC,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",2/23/2015 6:57,New York, NY,Not chosen
681448400,flyfromLAX,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",2/23/2015 6:57,Los Angeles, CA,Not chosen
681448402,Silvanabfer,Virgin America,@VirginAmerica Have a great week _ÙÎ_‰Ïö,2/23/2015 6:51,Worcester, MA ,Not chosen
681448404,AdamJdubs,Virgin America,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,2/23/2015 6:07,Detroit, MI,Not chosen
681448406,nicholas_v,Virgin America,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",2/23/2015 5:15,Worcester, MA ,Not chosen
681448408,tstashajones,Virgin America,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",2/23/2015 3:01,Great Barrington, MA,Not chosen
681448410,SkateMamas,Virgin America,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,2/23/2015 0:35,Los Angeles, CA,Not chosen
681448415,SamBrittenham,Virgin America,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",2/23/2015 0:06,Tucson, AZ,Not chosen
681448419,usagibrian,Virgin America,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,2/22/2015 22:39,San Diego, CA,Not chosen
681448421,usagibrian,Virgin America,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",2/22/2015 22:11,San Diego, CA,Not chosen
681448423,KindofLuke,Virgin America,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,2/22/2015 21:56,Worcester, MA ,Not chosen
681448429,cheryleng,Virgin America,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,2/22/2015 17:48,Worcester, MA ,Not chosen
681448431,HishamSharaby,Virgin America,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",2/22/2015 17:45,New Orleans, LA,Not chosen
681448432,ChrisFordisHere,Virgin America,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,2/22/2015 17:14,New York, NY ,Not chosen
681448433,JKF1897,Virgin America,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,2/22/2015 16:18,Worcester, MA ,Not chosen
681448435,F6x,Virgin America,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,2/22/2015 16:05,San Francisco, CA,Not chosen
681448437,lawyang588,Virgin America,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,2/22/2015 15:41,Worcester, MA ,Not chosen
681448440,melokudo,Virgin America,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,2/22/2015 15:40,Worcester, MA ,Not chosen
681448442,ChrysiChrysic,Virgin America,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,2/22/2015 15:06,Worcester, MA ,Not chosen
681448444,nikkisixxfan93,Virgin America,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,2/22/2015 15:03,Round Rock, TX,Not chosen
681448446,ChrysiChrysic,Virgin America,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,2/22/2015 15:02,Worcester, MA ,Not chosen
681448448,MOCBlogger,Virgin America,@VirginAmerica Another delayed flight? #likingyoulessandless,2/22/2015 14:49,San Diego, CA,Not chosen
681448457,HollywoodHotMom,Virgin America,@VirginAmerica always!!! Xoxo,2/22/2015 14:09,Alexandria, VA,Not chosen
681448459,GoShar2012,Virgin America,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,2/22/2015 14:07,Providence, RI,Not chosen
681448461,MOCBlogger,Virgin America,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,2/22/2015 14:03,San Diego, CA,Not chosen
681448468,jarrydosborne,Virgin America,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,2/22/2015 13:47,New Orleans, LA,Not chosen
681448470,HollywoodHotMom,Virgin America,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,2/22/2015 13:45,Alexandria, VA,Not chosen
681448471,mlorenzen,Virgin America,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",2/22/2015 13:29,Iowa City, IA,Not chosen
681448474,Tyler_Starrine,Virgin America,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,2/22/2015 13:23,Los Angeles, CA,Not chosen
681448476,jessicajaymes,Virgin America,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,2/22/2015 12:49,Hoboken,NJ,Not chosen
681448478,livingfitly,Virgin America,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,2/22/2015 12:35,Washington, D.C. ,Not chosen
681448480,khartline,Virgin America,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,2/22/2015 12:34,Las Vegas, NV,Not chosen
681448487,MACRoxburgh,Virgin America,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,2/22/2015 11:56,Worcester, MA ,Not chosen
681448488,paulnakada,Virgin America,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),2/22/2015 11:33,San Diego, CA,Not chosen
681448489,wildcatdad,Virgin America,@VirginAmerica is your website ever coming back online?,2/22/2015 11:13,Worcester, MA ,Not chosen
681448496,Osiris91780,Virgin America,@VirginAmerica Is flight 0769 out of LGA to DFW on time?,2/22/2015 11:10,Worcester, MA ,Not chosen
681448498,HeatherWhoo,Virgin America,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,2/22/2015 11:10,Worcester, MA ,Not chosen
681448500,paulnakada,Virgin America,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,2/22/2015 11:02,San Diego, CA,Not chosen
681448502,RampantSmashing,Virgin America,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,2/22/2015 11:01,Burlington, MA,Not chosen
681448504,intlwriter,Virgin America,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",2/22/2015 10:38,Los Angeles, CA,Not chosen
681448506,finslippy,Virgin America,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",2/22/2015 10:30,Brooklyn, NY,Not chosen
681448509,finslippy,Virgin America,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",2/22/2015 10:29,Brooklyn, NY,Not chosen
681448511,Gr8Fratsby,Virgin America,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,2/22/2015 10:19,Washington, D.C. ,Not chosen
681448513,sbaaronson,Virgin America,@VirginAmerica is the website down?,2/22/2015 8:56,Los Angeles, CA,Not chosen
681448515,jonesbasf,Virgin America,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,2/22/2015 8:53,Worcester, MA ,Not chosen
681448517,Gr8Fratsby,Virgin America,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,2/22/2015 5:51,Washington, D.C. ,Not chosen
681448522,CSHangover,Virgin America,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,2/22/2015 4:43,Tempe, AZ,Not chosen
681448524,girlphotophilly,Virgin America,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,2/22/2015 3:39,Philadelphia, PA,Not chosen
681448527,NewsSWA,Virgin America,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,2/22/2015 3:32,Evanston, IL,Not chosen
681448529,NewsSWA,Virgin America,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",2/22/2015 3:02,Evanston, IL,Not chosen
681448531,Graemelodge5545,Virgin America,@VirginAmerica Lister to my show my on Monday 1230 130,2/22/2015 2:42,Worcester, MA ,Not chosen
681448533,NewsSWA,Virgin America,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,2/22/2015 1:32,Evanston, IL,Not chosen
681448535,Boards707,Virgin America,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",2/21/2015 21:32,Bellevue, WA,Not chosen
681448538,MikeWiener,Virgin America,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,2/21/2015 21:28,Worcester, MA ,Not chosen
681448540,khartline,Virgin America,@VirginAmerica I'd love to know what your policy is for damaged luggage.,2/21/2015 20:41,Las Vegas, NV,Not chosen
681448542,simpasmore,Virgin America,@VirginAmerica Thank you for the follow,2/21/2015 20:33,Baltimore, MD ,Not chosen
681448543,ChrysiChrysic,Virgin America,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,2/21/2015 20:21,Worcester, MA ,Not chosen
681448545,ChrysiChrysic,Virgin America,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,2/21/2015 20:11,Worcester, MA ,Not chosen
681448547,TTINAC11,Virgin America,@VirginAmerica @TTINAC11 I DM you,2/21/2015 18:35,Las Vegas, NV,Not chosen
681448553,joyabsalon,Virgin America,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,2/21/2015 18:29,New York, NY ,Not chosen
681448555,meladorri,Virgin America,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,2/21/2015 18:11,Boston, MA,Not chosen
681448558,miaerolinea,Virgin America,_Ù÷_ RT @VirginAmerica: You‰Ûªve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,2/21/2015 18:09,Worcester, MA ,Not chosen
681448560,archiegips,Virgin America,@VirginAmerica Only way to fly! #Elevate #Gold,2/21/2015 18:02,Kansas City, MO,Not chosen
681448562,obiwantoby,Virgin America,@VirginAmerica If only you guys had flights from CMH.,2/21/2015 17:43,Worcester, MA ,Not chosen
681448564,MarwaYousofzoy,Virgin America,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",2/21/2015 17:41,Worcester, MA ,Not chosen
681448566,TTINAC11,Virgin America,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,2/21/2015 17:40,Las Vegas, NV,Not chosen
681448572,Floxie10,Virgin America,‰ÛÏ@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy‰Û @asarco_ES_ar ? _Ùªä,2/21/2015 17:14,Ann Arbor, MI,Not chosen
681448574,alexrkonrad,Virgin America,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,2/21/2015 17:13,New York, NY,Not chosen
681448576,MarwaYousofzoy,Virgin America,@VirginAmerica you suck!,2/21/2015 17:13,Worcester, MA ,Not chosen
681448580,MaximWheatley,Virgin America,@VirginAmerica Just DM'd. Same issue persisting.,2/21/2015 16:19,Washington, D.C. ,Not chosen
681448583,FiDiFamilies,Virgin America,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,2/21/2015 15:47,New York, NY,Not chosen
681448585,lexiesalas,Virgin America,@VirginAmerica trying to book a flight &amp; your site is down _Ù÷,2/21/2015 15:29,Stockton, CA,Not chosen
681448589,NancyJFriedman,Virgin America,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,2/21/2015 14:34,New York, NY,Not chosen
681448591,JT_Magana,Virgin America,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue,2/21/2015 14:28,Worcester, MA ,Not chosen
681448594,MaximWheatley,Virgin America,@VirginAmerica Your website is down and I'm trying to check in!,2/21/2015 14:27,Washington, D.C. ,Not chosen
681448598,carabubes,Virgin America,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,2/21/2015 14:23,Los Angeles, CA,Not chosen
681448602,DailyBillboard,Virgin America,@VirginAmerica Keep up the great work :),2/21/2015 13:52,Los Angeles, CA,Not chosen
681448604,BigRichTexasPam,Virgin America,@VirginAmerica my goodness your people @love field are amazing under pressure ‰_•üfrom Texas #beatstheothers in crisis Please fly me to NY,2/21/2015 13:52,Fredericksburg, VA,Not chosen
681448607,rtw4,Virgin America,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,2/21/2015 13:41,Milwaukee, WI ,Not chosen
681448609,casualdiego,Virgin America,@VirginAmerica can you please get me to the new york area before monday afternoon,2/21/2015 13:32,Oakland, CA,Not chosen
681448612,kyle_romanoff,Virgin America,"@VirginAmerica Thanks so much for the awesome support, you guys rock!",2/21/2015 13:32,Worcester, MA ,Not chosen
681448614,wmrrock,Virgin America,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback,2/21/2015 13:30,Costa Mesa, CA,Not chosen
681448617,wmrrock,Virgin America,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,2/21/2015 13:28,Costa Mesa, CA,Not chosen
681448619,BigRichTexasPam,Virgin America,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ‰ã•ü‰ã•ü‰ã•ü,2/21/2015 13:18,Fredericksburg, VA,Not chosen
681448621,aaronkurlander,Virgin America,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,2/21/2015 13:00,New York, NY,Not chosen
681448623,MistakeCakeJake,Virgin America,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?,2/21/2015 12:54,Worcester, MA ,Not chosen
